"Year","Sex","AgeGroup","Cases"
2013,"Females","10-14",0
2013,"Females","15-19",5
2013,"Females","20-24",11
2013,"Females","25-29",18
2013,"Females","30-34",33
2013,"Females","35-39",43
2013,"Females","40-44",56
2013,"Females","45-49",72
2013,"Females","50-54",83
2013,"Females","55-59",101
2013,"Females","60-64",92
2013,"Females","65-69",112
2013,"Females","70-74",91
2013,"Females","75-79",89
2013,"Females","80-84",93
2013,"Females","85+",103
2012,"Males","0-4",0
2012,"Males","5-9",0
2012,"Males","10-14",0
2012,"Males","15-19",1
2012,"Males","20-24",12
2012,"Males","25-29",14
2012,"Males","30-34",31
2012,"Males","35-39",32
2012,"Males","40-44",70
2012,"Males","45-49",63
2012,"Males","50-54",115
2012,"Males","55-59",123
2012,"Males","60-64",150
2012,"Males","65-69",168
2012,"Males","70-74",156
2012,"Males","75-79",138
2012,"Males","80-84",107
2012,"Males","85+",115
2012,"Females","0-4",0
2012,"Females","5-9",0
2012,"Females","10-14",0
2012,"Females","15-19",3
2012,"Females","20-24",12
2012,"Females","25-29",19
2012,"Females","30-34",34
2012,"Females","35-39",50
2012,"Females","40-44",66
2012,"Females","45-49",79
2012,"Females","50-54",96
2012,"Females","55-59",95
2012,"Females","60-64",116
2012,"Females","65-69",106
2012,"Females","70-74",82
2012,"Females","75-79",71
2012,"Females","80-84",66
2012,"Females","85+",94
2011,"Males","0-4",0
2011,"Males","5-9",1
2011,"Males","10-14",0
2011,"Males","15-19",2
2011,"Males","20-24",8
2011,"Males","25-29",21
2011,"Males","30-34",24
2011,"Males","35-39",25
2011,"Males","40-44",68
2011,"Males","45-49",73
2011,"Males","50-54",102
2011,"Males","55-59",94
2011,"Males","60-64",173
2011,"Males","65-69",148
2011,"Males","70-74",133
2011,"Males","75-79",111
2011,"Males","80-84",108
2011,"Males","85+",83
2011,"Females","0-4",0
2011,"Females","5-9",0
2011,"Females","10-14",0
2011,"Females","15-19",1
2011,"Females","20-24",7
2011,"Females","25-29",17
2011,"Females","30-34",26
2011,"Females","35-39",45
2011,"Females","40-44",57
2011,"Females","45-49",77
2011,"Females","50-54",81
2011,"Females","55-59",79
2011,"Females","60-64",98
2011,"Females","65-69",112
2011,"Females","70-74",76
2011,"Females","75-79",67
2011,"Females","80-84",81
2011,"Females","85+",79
2010,"Males","0-4",0
2010,"Males","5-9",0
2010,"Males","10-14",0
2010,"Males","15-19",3
2010,"Males","20-24",5
2010,"Males","25-29",21
2010,"Males","30-34",30
2010,"Males","35-39",40
2010,"Males","40-44",53
2010,"Males","45-49",82
2010,"Males","50-54",100
2010,"Males","55-59",125
2010,"Males","60-64",166
2010,"Males","65-69",165
2010,"Males","70-74",169
2010,"Males","75-79",134
2010,"Males","80-84",115
2010,"Males","85+",98
2010,"Females","0-4",0
2010,"Females","5-9",1
2010,"Females","10-14",0
2010,"Females","15-19",1
2010,"Females","20-24",10
2010,"Females","25-29",26
2010,"Females","30-34",41
2010,"Females","35-39",51
2010,"Females","40-44",59
2010,"Females","45-49",75
2010,"Females","50-54",96
2010,"Females","55-59",90
2010,"Females","60-64",113
2010,"Females","65-69",86
2010,"Females","70-74",89
2010,"Females","75-79",81
2010,"Females","80-84",73
2010,"Females","85+",80
2009,"Males","0-4",0
2009,"Males","5-9",0
2009,"Males","10-14",1
2009,"Males","15-19",3
2009,"Males","20-24",7
2009,"Males","25-29",22
2009,"Males","30-34",25
2009,"Males","35-39",41
2009,"Males","40-44",62
2009,"Males","45-49",88
2009,"Males","50-54",119
2009,"Males","55-59",137
2009,"Males","60-64",134
2009,"Males","65-69",149
