"Year","Sex","ASR","CrudeRate","AgeGroup","Value"
2004,"Females",2,3.6,"25-29",1.2
2003,"Males",4.2,6.5,"25-29",1.8
2003,"Females",1.9,3.2,"25-29",0
2002,"Males",3.6,5.6,"25-29",0
2002,"Females",1.9,3.4,"25-29",0
2001,"Males",3.7,5.5,"25-29",0.6
2001,"Females",2,3.4,"25-29",1.1
2000,"Males",3.7,5.6,"25-29",0
2000,"Females",2.2,3.7,"25-29",0.5
1999,"Males",3.6,5.1,"25-29",0
1999,"Females",2.3,3.5,"25-29",0
1998,"Males",4.3,6,"25-29",0.6
1998,"Females",2.1,3.6,"25-29",0
1997,"Males",4,5.5,"25-29",0.6
1997,"Females",2.1,3.5,"25-29",0
1996,"Males",4.3,5.9,"25-29",0
1996,"Females",1.5,2.9,"25-29",0
1995,"Males",4.5,5.8,"25-29",1.1
1995,"Females",2.7,4.1,"25-29",0
1994,"Males",4.1,5.3,"25-29",0.6
1994,"Females",1.9,2.9,"25-29",1.1
1993,"Males",4.2,5.4,"25-29",0
1993,"Females",1.9,2.9,"25-29",0
1992,"Males",3.9,4.9,"25-29",0.6
1992,"Females",2.5,3.6,"25-29",0
1991,"Males",3.8,4.8,"25-29",0
1991,"Females",2.3,3.2,"25-29",0.6
1990,"Males",4,4.8,"25-29",1.1
1990,"Females",2.3,3.3,"25-29",2.2
1989,"Males",3.9,4.7,"25-29",0.5
1989,"Females",2.5,3.2,"25-29",0.5
1988,"Males",4.3,5.1,"25-29",1.7
1988,"Females",2.4,3.4,"25-29",0.6
1987,"Males",4.3,5,"25-29",1.1
1987,"Females",2.2,3.3,"25-29",0
1986,"Males",3.4,4,"25-29",1.1
1986,"Females",2.3,3,"25-29",0.6
1985,"Males",3.2,3.7,"25-29",1.2
1985,"Females",2.8,3.6,"25-29",1.2
1984,"Males",3.9,4.3,"25-29",0.6
1984,"Females",2.1,3.1,"25-29",0
1983,"Males",4,4.6,"25-29",1.2
1983,"Females",2.9,3.9,"25-29",0
1982,"Males",3.7,4.1,"25-29",1.8
1982,"Females",2.4,3.1,"25-29",1.2
2021,"Males",2.4,5.6,"30-34",0
2021,"Females",1.3,3.2,"30-34",0
2020,"Males",2.4,5.5,"30-34",0.4
2020,"Females",1,2.6,"30-34",0
2019,"Males",2.9,5.8,"30-34",0.8
2019,"Females",1.1,2.4,"30-34",0
2018,"Males",3.1,6.2,"30-34",0.8
2018,"Females",1.2,2.8,"30-34",0
2017,"Males",2.6,5.2,"30-34",0
2017,"Females",1.6,3.5,"30-34",0.4
2016,"Males",3,5.8,"30-34",0.9
2016,"Females",1.4,2.7,"30-34",0.4
2015,"Males",3.8,7.3,"30-34",0.9
2015,"Females",1.8,3.6,"30-34",0.9
2014,"Males",3.5,6.6,"30-34",0.5
2014,"Females",1.4,3,"30-34",0.9
2013,"Males",5,8.8,"30-34",0.9
2013,"Females",2,4.1,"30-34",0
2012,"Males",4,7.6,"30-34",0
2012,"Females",1.8,3.6,"30-34",0
2011,"Males",4.7,8,"30-34",1
2011,"Females",2,3.8,"30-34",1
2010,"Males",4.5,7.7,"30-34",1.1
2010,"Females",1.7,3.4,"30-34",0
2009,"Males",4.9,8.3,"30-34",2.1
2009,"Females",1.8,3.6,"30-34",1.1
2008,"Males",4.3,7.2,"30-34",1.6
2008,"Females",1.8,3.5,"30-34",0.5
2007,"Males",4.5,7.4,"30-34",0.5
2007,"Females",2,3.6,"30-34",2.2
2006,"Males",4,6.8,"30-34",1.1
2006,"Females",2.2,4.1,"30-34",0.5
2005,"Males",3.9,6.3,"30-34",1.1
2005,"Females",1.9,3.3,"30-34",0.5
2004,"Males",4.6,7.2,"30-34",3.2
2004,"Females",2,3.6,"30-34",2.6
2003,"Males",4.2,6.5,"30-34",0.5
2003,"Females",1.9,3.2,"30-34",0.5
2002,"Males",3.6,5.6,"30-34",1.1
2002,"Females",1.9,3.4,"30-34",1
2001,"Males",3.7,5.5,"30-34",2.2
2001,"Females",2,3.4,"30-34",1.1
2000,"Males",3.7,5.6,"30-34",0
2000,"Females",2.2,3.7,"30-34",1.6
1999,"Males",3.6,5.1,"30-34",1.1
1999,"Females",2.3,3.5,"30-34",2.2
1998,"Males",4.3,6,"30-34",1.7
1998,"Females",2.1,3.6,"30-34",1.1
1997,"Males",4,5.5,"30-34",0.6
1997,"Females",2.1,3.5,"30-34",2.2
1996,"Males",4.3,5.9,"30-34",0.6
1996,"Females",1.5,2.9,"30-34",0
1995,"Males",4.5,5.8,"30-34",2.2
1995,"Females",2.7,4.1,"30-34",0.5
1994,"Males",4.1,5.3,"30-34",2.7
1994,"Females",1.9,2.9,"30-34",1.1
1993,"Males",4.2,5.4,"30-34",0.5
1993,"Females",1.9,2.9,"30-34",0.5
1992,"Males",3.9,4.9,"30-34",1.6
1992,"Females",2.5,3.6,"30-34",1.1
1991,"Males",3.8,4.8,"30-34",1.6
1991,"Females",2.3,3.2,"30-34",1.1
1990,"Males",4,4.8,"30-34",2.8
1990,"Females",2.3,3.3,"30-34",1.7
1989,"Males",3.9,4.7,"30-34",2.3
1989,"Females",2.5,3.2,"30-34",0.6
1988,"Males",4.3,5.1,"30-34",2.9
1988,"Females",2.4,3.4,"30-34",2.3
1987,"Males",4.3,5,"30-34",1.8
1987,"Females",2.2,3.3,"30-34",1.2
1986,"Males",3.4,4,"30-34",4.3
1986,"Females",2.3,3,"30-34",2.4
1985,"Males",3.2,3.7,"30-34",1.2
1985,"Females",2.8,3.6,"30-34",1.2
1984,"Males",3.9,4.3,"30-34",3.1
1984,"Females",2.1,3.1,"30-34",0.6
1983,"Males",4,4.6,"30-34",4.4
1983,"Females",2.9,3.9,"30-34",0
1982,"Males",3.7,4.1,"30-34",3.1
1982,"Females",2.4,3.1,"30-34",2.5
2021,"Males",2.4,5.6,"35-39",0.4
2021,"Females",1.3,3.2,"35-39",0.4
2020,"Males",2.4,5.5,"35-39",0.4
2020,"Females",1,2.6,"35-39",0.4
2019,"Males",2.9,5.8,"35-39",0.4
2019,"Females",1.1,2.4,"35-39",0.4
2018,"Males",3.1,6.2,"35-39",0.9
2018,"Females",1.2,2.8,"35-39",0.9
2017,"Males",2.6,5.2,"35-39",0.5
2017,"Females",1.6,3.5,"35-39",0.5
2016,"Males",3,5.8,"35-39",1
2016,"Females",1.4,2.7,"35-39",1
2015,"Males",3.8,7.3,"35-39",1
2015,"Females",1.8,3.6,"35-39",1
2014,"Males",3.5,6.6,"35-39",1.5
2014,"Females",1.4,3,"35-39",0.5
2013,"Males",5,8.8,"35-39",1
2013,"Females",2,4.1,"35-39",1.5
2012,"Males",4,7.6,"35-39",1
2012,"Females",1.8,3.6,"35-39",0.5
2011,"Males",4.7,8,"35-39",1.5
2011,"Females",2,3.8,"35-39",1
2010,"Males",4.5,7.7,"35-39",1
2010,"Females",1.7,3.4,"35-39",1
2009,"Males",4.9,8.3,"35-39",3
2009,"Females",1.8,3.6,"35-39",1.5
2008,"Males",4.3,7.2,"35-39",2
2008,"Females",1.8,3.5,"35-39",3
2007,"Males",4.5,7.4,"35-39",1.5
2007,"Females",2,3.6,"35-39",2
2006,"Males",4,6.8,"35-39",2.1
2006,"Females",2.2,4.1,"35-39",2.1
2005,"Males",3.9,6.3,"35-39",2.2
2005,"Females",1.9,3.3,"35-39",2.1
2004,"Males",4.6,7.2,"35-39",3.3
2004,"Females",2,3.6,"35-39",1.1
2003,"Males",4.2,6.5,"35-39",2.8
2003,"Females",1.9,3.2,"35-39",0
2002,"Males",3.6,5.6,"35-39",1.7
2002,"Females",1.9,3.4,"35-39",2.2
2001,"Males",3.7,5.5,"35-39",1.1
2001,"Females",2,3.4,"35-39",1.1
2000,"Males",3.7,5.6,"35-39",1.1
2000,"Females",2.2,3.7,"35-39",2.1
1999,"Males",3.6,5.1,"35-39",2.2
1999,"Females",2.3,3.5,"35-39",3.2
1998,"Males",4.3,6,"35-39",3.8
1998,"Females",2.1,3.6,"35-39",1.6
1997,"Males",4,5.5,"35-39",1.1
1997,"Females",2.1,3.5,"35-39",0.5
1996,"Males",4.3,5.9,"35-39",2.8
1996,"Females",1.5,2.9,"35-39",0.6
1995,"Males",4.5,5.8,"35-39",1.7
1995,"Females",2.7,4.1,"35-39",2.8
1994,"Males",4.1,5.3,"35-39",1.7
1994,"Females",1.9,2.9,"35-39",2.3
1993,"Males",4.2,5.4,"35-39",2.9
1993,"Females",1.9,2.9,"35-39",0.6
1992,"Males",3.9,4.9,"35-39",2.9
1992,"Females",2.5,3.6,"35-39",1.7
1991,"Males",3.8,4.8,"35-39",3
1991,"Females",2.3,3.2,"35-39",3.5
1990,"Males",4,4.8,"35-39",3
1990,"Females",2.3,3.3,"35-39",3.6
